region,mean_residual,mean_observed_z,n_obs,expr_Mapt,expr_Apoe,expr_Trem2
iSuperior vestibular nucleus,0.12941631931498226,-0.2439130769232267,24.0,-1.6989454651051417,0.03199662235929532,0.5429184002124356
iVentral cochlear nucleus,0.1174318930792248,-0.2439130769232267,24.0,-2.3348933933473854,1.9967936414375227,0.7342027866335554
iFacial motor nucleus,0.1277483513174945,-0.2439130769232267,24.0,-1.1263394209728188,-0.2537875230792183,0.08603743065073552
iHypoglossal nucleus,0.1332308220643863,-0.2439130769232267,24.0,-0.04219731150244293,0.9752909137862287,-0.7919156076263228
iAnterior pretectal nucleus,,,0.0,-0.25309083196346854,-1.0393926925969605,-0.6711073624190952
iCentral linear nucleus raphe,,,0.0,-0.6281846420554539,-0.8638223683201058,-0.6802721167624094
iCuneiform nucleus,,,0.0,-0.5453167850295902,0.02912617955148674,-0.7076170851569331
iDorsal nucleus raphe,,,0.0,0.25664548968741935,1.1661493225978221,0.5961230327090866
"iInferior colliculus, central nucleus",,,0.0,-0.5944524788983128,-0.35875536978830935,-0.11389452165448855
"iInferior colliculus, dorsal nucleus",,,0.0,-0.7858275438133177,0.9877644305084149,0.46621448483545946
"iInferior colliculus, external nucleus",,,0.0,-1.1434948461982835,-0.2764019612926445,-0.10748851882291655
iInterpeduncular nucleus,,,0.0,1.5394973044050067,0.714758725947151,-0.1424015431011201
iMedial pretectal area,,,0.0,-1.2791296730510582,3.618715187042338,1.0640808571921863
iMidbrain reticular nucleus,,,0.0,-0.14239034505258052,-0.7514446819127636,-0.6262069863914476
iNucleus of the optic tract,,,0.0,0.8393676491103441,-1.3754995672750823,-0.4058662464611925
iNucleus of the posterior commissure,,,0.0,-2.0007895669322253,-0.05197951798023591,-0.12493169263641052
iPeriaqueductal gray,,,0.0,0.313152795927897,0.784472514558999,-0.005492041981060083
iPedunculopontine nucleus,,,0.0,-0.2817696498085244,-0.24835578737461342,-0.6966021770859887
iRed nucleus,,,0.0,0.18306233811806755,-1.4053987784218227,-0.7139823796718648
"iMidbrain reticular nucleus, retrorubral area",,,0.0,-0.08101307942462233,-0.3884590834326637,-0.20996353045555685
"iSuperior colliculus, motor related",,,0.0,0.0600272135090589,-0.5727496037533655,-0.32766308364535157
"iSuperior colliculus, sensory related",,,0.0,-0.034998342940847645,0.46787540727018584,1.0829502716471062
"iSubstantia nigra, compact part",,,0.0,0.8210511293117715,-0.5276970586668377,-0.5978374484089691
"iSubstantia nigra, reticular part",,,0.0,-0.37399291666325607,-0.4940053162532869,-0.058242017334309185
iVentral tegmental area,,,0.0,0.39401760078079984,-1.3923213093574616,-0.5588055624965509
iAccessory olfactory bulb,,,0.0,0.3043254242812857,-0.25658108289844006,0.8757388637001498
iAnterior olfactory nucleus,,,0.0,-0.03621714550995154,0.23248433482900344,0.2823714299987043
iDorsal peduncular area,,,0.0,0.46364743560384075,0.2118501747891526,0.08553945290869033
iMain olfactory bulb,,,0.0,-1.8514048989011258,-1.2263148329893143,-0.6197299828180444
iNucleus of the lateral olfactory tract,,,0.0,0.9767519705542269,-0.7683103064945113,-0.489939139240565
iPiriform area,-0.47662029259174704,-0.2271755032142944,24.0,1.1557249232852393,0.10369492260365223,-0.8338883301450277
iPostpiriform transition area,,,0.0,1.6525295260492099,-0.05822213321447542,-0.6006222627995595
iTaenia tecta,,,0.0,0.6688981059837107,0.24386389192183905,0.3003476673181644
iBed nuclei of the stria terminalis,,,0.0,0.6911476160990587,1.8621112607595296,-0.9393476362383406
